IDs         length   Exptl.  resolution  R-factor FreeRvalue
2JGPA       520      XRAY        1.850    0.21    0.24
3ROTA       297      XRAY        1.910    0.24    0.25
5FYDA       263      XRAY        1.600    0.18    0.21
4EGVA       520      XRAY        2.710    0.23    0.26
3QEXA       903      XRAY        1.730    0.18    0.21
1USYA       275      XRAY        2.520    0.21    0.29
5UH7A       169      XRAY        2.200    0.22    0.25
3D7JA       152      XRAY        1.450    0.21    0.22
4H3UA       158      XRAY        1.150    0.13    0.14
4O9DA       428      XRAY        2.000    0.21    0.25
1YKIA       217      XRAY        1.700    0.14    0.17
2NPSC        81      XRAY        2.500    0.25    0.29
5LUNA       352      XRAY        1.080    0.16    0.18
3V7NA       487      XRAY        1.400    0.16    0.18
4AT7B       383      XRAY        1.900    0.19    0.21
4WUIA       207      XRAY        1.090    0.13    0.14
4ZGMA       122      XRAY        1.800    0.16    0.19
3FYMA       130      XRAY        1.000    0.11    0.14
2XVSA       166      XRAY        1.800    0.17    0.24
1VPMA       169      XRAY        1.660    0.17    0.20
6FIEB       264      XRAY        1.510    0.20    0.24
1H5WA       309      XRAY        2.100    0.20    0.25
2YDYA       315      XRAY        2.250    0.18    0.22
2PYWA       420      XRAY        1.900    0.17    0.20
4MUVA       142      XRAY        1.250    0.14    0.17
5G2UA       489      XRAY        1.430    0.13    0.16
1P9YA       121      XRAY        2.150    0.20    0.25
3EB8A       358      XRAY        2.400    0.22    0.27
1XRKA       124      XRAY        1.500    0.17    0.19
4MC3A       346      XRAY        1.500    0.14    0.19
1ZMEC        70      XRAY        2.500    0.21    0.29
3E0JA       476      XRAY        3.000    0.26    0.28
5CW4A       255      XRAY        2.540    0.19    0.24
3DF7A       305      XRAY        1.870    0.20    0.23
4J32B       101      XRAY        1.800    0.18    0.20
3BZ5A       457      XRAY        2.700    0.18    0.25
4HLBA       115      XRAY        1.800    0.20    0.22
4JN7A       395      XRAY        1.150    0.14    0.14
3A1YA        58      XRAY        2.130    0.22    0.26
4WA0A       358      XRAY        1.700    0.15    0.19
5IZAA       354      XRAY        1.500    0.12    0.16
3LZKA       359      XRAY        1.900    0.19    0.23
5TWBA       344      XRAY        1.820    0.19    0.23
3HIEA       171      XRAY        2.000    0.20    0.25
1WOUA       123      XRAY        1.800    0.23    0.23
6DS9A        93      XRAY        1.340    0.18    0.19
4LJRA       221      XRAY        1.800    0.20    0.24
3S9DA       168      XRAY        2.000    0.20    0.23
4K82A       217      XRAY        1.600    0.19    0.24
1B25A       619      XRAY        1.850    0.17    0.22
3FFLA       167      XRAY        2.500    0.22    0.24
3OOUA       108      XRAY        1.570    0.19    0.22
3HG9A       131      XRAY        2.400    0.24    0.27
4UV2A       262      XRAY        2.800    0.19    0.23
4O8SA       232      XRAY        2.100    0.21    0.23
2GSVA        80      XRAY        1.900    0.23    0.26
3BL9A       301      XRAY        1.800    0.18    0.22
4P37A       534      XRAY        2.240    0.19    0.21
4X2HB       183      XRAY        1.800    0.17    0.19
4G4KA       103      XRAY        1.520    0.18    0.21
2INWA       133      XRAY        1.500    0.23    0.25
1TULA       108      XRAY        2.200    0.18    1.00
5E1WA       180      XRAY        1.390    0.14    0.17
3E38A       343      XRAY        2.200    0.17    0.23
4N01A       337      XRAY        1.800    0.17    0.20
5XDCA       414      XRAY        1.580    0.17    0.19
3MP7A       482      XRAY        2.900    0.28    0.32
6DUBA       222      XRAY        1.200    0.15    0.18
3FD4A       191      XRAY        2.400    0.22    0.24
3ALJA       379      XRAY        1.480    0.17    0.21
3OWCA       188      XRAY        1.900    0.18    0.21
4U4RN0      172      XRAY        2.800    0.21    0.25
2Q8PA       260      XRAY        1.950    0.20    0.26
4GA2A       150      XRAY        0.950    0.18    0.20
2W6AA        63      XRAY        1.400    0.16    0.20
2V76A       107      XRAY        1.600    0.19    0.22
5VR2A        50      XRAY        1.920    0.19    0.24
5WL1A       300      XRAY        1.380    0.19    0.21
5UI9A       345      XRAY        1.920    0.18    0.20
5DXLA       286      XRAY        1.570    0.20    0.23
3S83A       259      XRAY        1.340    0.17    0.20
4WY4D        65      XRAY        1.400    0.14    0.18
4QL0A       554      XRAY        2.500    0.22    0.26
5D4FA       123      XRAY        1.720    0.21    0.23
4G1QB       428      XRAY        1.510    0.15    0.19
1U7GA       385      XRAY        1.400    0.14    0.17
1E2WA       251      XRAY        1.600    0.20    0.23
4J5RA       146      XRAY        1.250    0.12    0.15
3RMRA       260      XRAY        2.300    0.23    0.26
2XUVA        79      XRAY        1.500    0.18    0.20
3IP0A       158      XRAY        0.890    0.13    0.13
2WJNC       336      XRAY        1.860    0.17    0.19
3EKIA       403      XRAY        1.600    0.18    0.23
4G6DB       198      XRAY        2.000    0.21    0.24
2OITA       434      XRAY        1.650    0.20    0.24
3GF6A       224      XRAY        1.690    0.16    0.21
4ZDSA       134      XRAY        1.780    0.18    0.22
3OVGA       363      XRAY        2.060    0.17    0.21
3RJVA       212      XRAY        1.650    0.17    0.19
4OJ5A       776      XRAY        1.800    0.19    0.20
4QPVA       296      XRAY        1.800    0.18    0.21
3K93A       223      XRAY        2.150    0.17    0.21
1I12A       160      XRAY        1.300    0.21    0.22
1JY1A       464      XRAY        1.690    0.20    0.23
3RS1A       122      XRAY        1.940    0.19    1.00
3BLZA       128      XRAY        1.750    0.15    0.19
4F1VA       381      XRAY        0.880    0.13    0.14
5LT5A       222      XRAY        1.450    0.17    0.18
4XXIA       157      XRAY        2.200    0.19    0.25
5UROA       336      XRAY        1.700    0.18    0.21
5HIUA       463      XRAY        2.500    0.23    0.26
3C19A       186      XRAY        2.500    0.25    0.27
5GVCA       615      XRAY        2.440    0.18    0.23
3E15A       312      XRAY        2.000    0.15    0.20
5I1UA       335      XRAY        1.500    0.16    0.20
4OFKA       108      XRAY        1.800    0.19    0.21
2JKUA        94      XRAY        1.500    0.15    0.17
3OOQA       396      XRAY        2.060    0.17    0.21
1UWCA       261      XRAY        1.080    0.12    0.14
2O26U       290      XRAY        2.500    0.24    0.27
2P12A       176      XRAY        1.630    0.17    0.22
4CGUB       158      XRAY        2.110    0.17    0.21
4JMPA       269      XRAY        1.300    0.17    0.19
5EGFA       486      XRAY        2.290    0.23    0.27
4C1OA       727      XRAY        1.700    0.14    0.17
3QTHA       176      XRAY        2.200    0.18    0.21
2IZRA       330      XRAY        1.300    0.13    0.16
2PRSA       284      XRAY        1.700    0.21    0.25
4Y60C        80      XRAY        1.750    0.17    0.20
3BD1A        79      XRAY        1.400    0.15    0.18
4A1GE        53      XRAY        2.600    0.19    0.24
4R6YA       318      XRAY        1.220    0.12    0.15
4MUDA       235      XRAY        2.430    0.18    0.20
3G46A       146      XRAY        0.910    0.13    0.15
2P0AA       344      XRAY        1.900    0.18    0.22
5I4QA        92      XRAY        2.350    0.18    0.22
5UGRA       333      XRAY        1.560    0.10    0.13
2F9HA       129      XRAY        1.570    0.17    0.23
5B8DA       107      XRAY        1.050    0.13    0.15
3DTDA       175      XRAY        2.350    0.24    0.27
4DCKA       168      XRAY        2.200    0.21    0.23
3AIHA       124      XRAY        2.100    0.23    0.28
5X42C       213      XRAY        1.800    0.21    0.26
2A6SA        84      XRAY        1.770    0.20    0.22
4HZOA       318      XRAY        1.760    0.22    0.25
3Q6BA       189      XRAY        1.500    0.15    0.19
2PFZA       301      XRAY        1.800    0.19    0.24
5XLVA       312      XRAY        1.800    0.18    0.21
5Y3TB       158      XRAY        2.400    0.19    0.24
2XEDA       273      XRAY        1.950    0.22    0.26
2PMIB       293      XRAY        2.900    0.29    0.33
2BSJA       133      XRAY        1.830    0.19    0.23
3R1XA       295      XRAY        2.090    0.17    0.20
4G68A       456      XRAY        1.800    0.23    0.26
3H2YA       368      XRAY        1.800    0.22    0.24
5B1AC       261      XRAY        1.500    0.15    0.17
3K69A       162      XRAY        1.950    0.17    0.22
2P58B        86      XRAY        1.800    0.19    0.22
4YBAA        99      XRAY        1.700    0.19    0.23
1GP0A       143      XRAY        1.400    0.21    0.24
3A99A       320      XRAY        1.600    0.19    0.21
2XMJA        64      XRAY        1.080    0.12    0.15
4U4RN9       58      XRAY        2.800    0.21    0.25
5OPGA       371      XRAY        2.150    0.20    0.23
1EUWA       152      XRAY        1.050    0.14    0.16
1LN1A       214      XRAY        2.400    0.24    0.30
3T0YB        68      XRAY        2.100    0.20    0.25
5X6BE       216      XRAY        2.600    0.23    0.26
5I8JA        64      XRAY        1.750    0.19    0.22
3KH2E        73      XRAY        2.710    0.22    0.27
2VXNA       251      XRAY        0.820    0.09    0.10
3MCRA       213      XRAY        2.650    0.21    0.26
1H4XA       117      XRAY        1.160    0.13    0.16
4ONSB        88      XRAY        2.800    0.21    0.26
4ZKQA       420      XRAY        1.900    0.19    0.22
5B5ZA       282      XRAY        1.600    0.18    0.21
4HRVA       167      XRAY        1.890    0.23    0.25
1PKHA       204      XRAY        1.420    0.19    0.20
2YKFA       305      XRAY        2.000    0.19    0.24
1D2TA       231      XRAY        1.900    0.22    0.26
5ME5B        90      XRAY        1.900    0.19    0.21
1DP4A       435      XRAY        2.000    0.20    0.23
4U4RC0      105      XRAY        2.800    0.21    0.25
4FYPA       263      XRAY        1.800    0.18    0.22
5I45A       218      XRAY        1.350    0.16    0.20
2C7NA        74      XRAY        2.100    0.20    0.24
3BE6A       297      XRAY        1.820    0.19    0.22
1NC7A       138      XRAY        1.550    0.17    0.19
4MI8A       143      XRAY        2.100    0.16    0.22
2ES4D       332      XRAY        1.850    0.20    0.22
5KTNA       304      XRAY        1.340    0.12    0.15
4HDOA       322      XRAY        1.670    0.21    0.23
3K29A       169      XRAY        2.000    0.24    0.28
5LSFC       273      XRAY        2.100    0.19    1.00
2ZTBA       252      XRAY        2.380    0.19    0.22
5W3XA       352      XRAY        2.000    0.18    0.21
3COLA       196      XRAY        2.100    0.19    0.25
6C9EA       422      XRAY        1.550    0.14    0.16
4YBBAR       55      XRAY        2.100    0.22    0.23
4NJHA       230      XRAY        1.900    0.15    0.17
4AFFA       116      XRAY        1.050    0.13    0.14
2O5HA       136      XRAY        1.900    0.21    0.25
5JJXA       314      XRAY        2.000    0.21    0.24
1ITHA       141      XRAY        2.500    0.15    1.00
5JNMA       402      XRAY        1.700    0.17    0.19
2BK8A        97      XRAY        1.690    0.19    0.23
1I5PA       633      XRAY        2.200    0.18    0.23
1J0PA       108      XRAY        0.910    0.11    0.14
1WY6A       172      XRAY        2.200    0.22    0.28
2WAWA       199      XRAY        1.600    0.17    0.20
5HWEA       389      XRAY        1.710    0.15    0.19
3BY9A       260      XRAY        1.700    0.16    0.20
4WJWB       761      XRAY        2.590    0.18    0.21
2BPSA        81      XRAY        2.700    0.24    0.30
4XFKA       399      XRAY        1.300    0.14    0.16
4NYQA       164      XRAY        1.200    0.15    0.19
1R29A       127      XRAY        1.300    0.13    0.17
5V1VA        91      XRAY        1.350    0.19    0.23
4RVCA       245      XRAY        1.770    0.25    0.25
5OARA        78      XRAY        2.300    0.19    0.24
1B77A       228      XRAY        2.100    0.23    0.27
2I5HA       205      XRAY        1.740    0.23    0.26
5WPSA       225      XRAY        1.390    0.14    0.17
5A9DA       189      XRAY        2.100    0.20    0.24
1ISUA        62      XRAY        1.500    0.17    1.00
2Q4MA       217      XRAY        1.700    0.16    0.21
1PUCA       105      XRAY        1.950    0.19    0.24
2PBLA       262      XRAY        1.790    0.22    0.27
2HKVA       149      XRAY        1.700    0.18    0.23
1MQSB        50      XRAY        3.000    0.26    0.29
3DDEA       239      XRAY        2.300    0.22    0.25
1Z3EB        73      XRAY        1.500    0.20    0.22
2RCIA       204      XRAY        1.800    0.19    0.22
6B9MD        41      XRAY        1.680    0.18    0.21
3S8SA       110      XRAY        1.300    0.17    0.20
4F2ME       209      XRAY        3.000    0.22    0.25
4U4RM4      137      XRAY        2.800    0.21    0.25
4LXRJ       114      XRAY        2.200    0.18    0.22
5JIEA        66      XRAY        2.140    0.21    0.23
2YILA       138      XRAY        1.950    0.17    0.20
1S9RA       410      XRAY        1.600    0.17    0.20
1ZKEA        83      XRAY        1.600    0.20    0.23
2HS1A        99      XRAY        0.840    0.12    0.15
3E1RA        58      XRAY        2.000    0.22    0.25
1FC3A       120      XRAY        2.000    0.20    0.26
3BRCA       156      XRAY        1.600    0.19    0.24
5DNKA       554      XRAY        1.900    0.20    0.25
5E3QA       302      XRAY        1.800    0.16    0.19
3NKGA       174      XRAY        2.000    0.17    0.21
3QYEA       331      XRAY        2.200    0.20    0.24
4OM3A       147      XRAY        2.850    0.24    0.30
1X9IA       302      XRAY        1.160    0.15    0.16
1BQUA       215      XRAY        2.000    0.22    0.26
6BDEA       185      XRAY        1.640    0.21    0.24
4WXAA        94      XRAY        2.440    0.23    0.27
5UTSA       501      XRAY        2.300    0.21    0.24
4WPMA       121      XRAY        2.400    0.23    0.25
4O00A       104      XRAY        1.850    0.17    0.21
1U8VA       490      XRAY        1.600    0.17    0.21
4P1BH       111      XRAY        2.050    0.15    0.18
